,title,subtitles,links
29,HORROR ORDEAL,Shock as Barnsley coach bursts into flames on return from away game,https://www.thesun.co.uk/sport/24326066/barnsley-coach-fire-exeter-city/
30,ROL UP,Win an incredible Rolex or £12k in cash from just 53p with our discount code,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
31,MADD ABOUT HER,James Maddison's Wag shows off thong in cheeky see-through outfit,https://www.thesun.co.uk/sport/24324014/james-maddison-wag-kennedy-alexa-thong-tottenham/
32,,Watch Messi’s bodyguard as he tackles CHILD - but then gives him amazing moment,https://www.thesun.co.uk/sport/24328577/watch-messi-bodyguard-tackles-child-amazing-moment/
33,GUNNER LEAVE,Napoli 'target Arsenal striker' as one of three transfers to replace Osimhen,https://www.thesun.co.uk/sport/24327234/napoli-arsenal-transfer-victor-osimhen-gabriel-jesus/
34,MAGS HEAD,Harry Maguire completely changes fans' minds with role in win over Brentford,https://www.thesun.co.uk/sport/24324487/harry-maguire-manchester-united-assist-scott-mctominay/
35,,Watch Merson lose it with Mike Dean in 'box office' VAR clash on Soccer Saturday,https://www.thesun.co.uk/sport/24322119/paul-merson-mike-dean-clash-soccer-saturday-var/
36,BURNLEY 1 CHELSEA 4,Sterling inspires comeback win to show Southgate what he's missing,https://www.thesun.co.uk/sport/24297986/burnley-vs-chelsea-live-score-latest-premier-league-updates/
37,TIME TO SHINE,De Gea shows how he’s spending time in cryptic post as Man Utd struggle again,https://www.thesun.co.uk/sport/24324120/man-utd-david-de-gea-cryptic-instagram-post/
38,PUT OFF,Keane pulled plug on Savage Sunderland signing after hearing his voicemail message,https://www.thesun.co.uk/sport/24321404/transfer-news-roy-keane-robbie-savage-sunderland/
39,ROASTED,Man Utd boss Ten Hag gives brutal four-word reason for Casemiro half-time sub,https://www.thesun.co.uk/sport/24325307/erik-ten-hag-brutal-casemiro-assessment/
40,,Fulham clash stopped after horror injury for Sheff Utd star Chris Basham,https://www.thesun.co.uk/sport/24322961/chris-basham-horror-injury-leg-break/
41,'STUPIDITY',Tottenham's Yves Bissouma SENT OFF for 'stupidest thing ever' against Luton,https://www.thesun.co.uk/sport/24322109/luton-tottenham-yves-bissouma-red-card/
42,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
43,TOP OF THE SLOTS,Best payout slots for UK revealed - and where you can play them,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
44,QUICK BUCKS,Get cash quick as a flash with our guide to the best instant withdrawal casinos,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
45,'PERFECTION',Ex-Prem Wag dubbed ‘world’s most beautiful woman' stuns in skin-tight dress,https://www.thesun.co.uk/sport/24321274/viktoria-varga-wag-leather-dress-instagram-graziano-pelle-southampton/
46,WHAT THE BECK?!,Ex-England boss 'rejected chance to star in Beckham Netflix documentary',https://www.thesun.co.uk/sport/24320999/glen-hoddle-rejected-beckham-netflix-documentary/
47,,Bend It Like Beckham lands sequel 21 years after Kiera Knightley hit film,https://www.thesun.co.uk/sport/24322030/bend-it-like-beckham-sequel-kiera-knightley/
48,PETE SAKE,Manchester United legend Peter Schmeichel says star has 'upset the whole team',https://www.thesun.co.uk/sport/24324556/manchester-united-peter-schmeichel-andre-onana-brentford/
49,TAKING A STAND,Our quiet town is ruined by new football ground - we can't even fill it,https://www.thesun.co.uk/sport/24266514/picturesque-town-ruined-football-stadium/
50,OOH LA LA,Laura Woods shares embrace with Prem legend and former I'm A Celeb heartthrob,https://www.thesun.co.uk/sport/24320708/laura-woods-david-ginola-newcastle-psg-champions-league-instagram/
51,CAS CLOSED,Man Utd's Player of the Month hooked vs Brentford as fans say 'he's done',https://www.thesun.co.uk/sport/24323365/man-utd-brentford-casemiro-mistake-substituted-ten-hag/
52,FIGHT CLUB,Funny moment West Brom fan tries to pick fight after Birmingham score but can't,https://www.thesun.co.uk/sport/24323343/hilarious-moment-birmingham-city-fan-fight/
53,GET HIM BECK,Beckham hints at signing former Barcelona star for Inter Miami in Netflix doc,https://www.thesun.co.uk/sport/24320733/david-beckham-hints-signing-neymar-inter-miami-netflix/
54,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
55,MAN UTD NEWS,"Jadon Sancho set for Euro giants EXCLUSIVE, David Beckham's takeover hint",https://www.thesun.co.uk/sport/24159367/man-utd-news-live-jadon-sancho-transfer-exclusive/
56,ARSENAL NEWS,Saka AND Martinelli 'in contention' to feature against City,https://www.thesun.co.uk/sport/24268915/arsenal-news-live-saka-martinelli-injury-updates-neto-white/
57,SAMBA STARS,Man Utd ‘chasing two Brazilian wonderkids’ but will have to pay around £100m,https://www.thesun.co.uk/sport/24324726/man-utd-transfers-luis-guilherme-lorran-chelsea/
58,WAT A PERFORMANCE,Ollie Watkins storms up Dream Team rankings after 25-point masterclass,https://www.thesun.co.uk/sport/football/dream-team/24226932/ollie-watkins-aston-villa-brighton-fantasy-football-points/
59,SAKA ATTACKER,Most transferred-out player Bukayo Saka now Dream Team's top performer,https://www.thesun.co.uk/sport/football/dream-team/24229834/bukayo-saka-erling-haaland-fantasy-football-points-injury/
60,FLYING EAGLES,Crystal Palace have a top-tier Dream Team asset in every position this season,https://www.thesun.co.uk/sport/football/dream-team/24232312/crystal-palace-fantasy-football-premier-league-andersen-johnstone/
61,WHITE NOISE,London ground bigger than Wembley hosted ex-Prem side before being demolished,https://www.thesun.co.uk/sport/24234708/white-city-stadium-qpr-demolished-wembley/
62,PUSH THE BOAT OUT,World Cup winner unemployed at 35 after ex-club reject chance to sign him,https://www.thesun.co.uk/sport/24318469/world-cup-boateng-unemployed-bayern-munich-trial-everton-transfer/
63,NOT CLEVER,"Keane ‘sent me a mouthful’ when decided to join Everton, reveals ex-Man Utd star",https://www.thesun.co.uk/sport/24322608/roy-keane-mouthful-aston-villa-man-utd-cleverley/
64,BUK STOPS,Arsenal hold ‘Saka summit’ with Southgate as they desperately seek compromise,https://www.thesun.co.uk/sport/24321058/arsenal-bukayo-saka-england-gareth-southgate-injury/
65,ONOTHER HOWLER,Onana blamed AGAIN as Man Utd concede to Brentford as fans think of De Gea,https://www.thesun.co.uk/sport/24323017/man-utd-news-onana-mistakes-brentford-de-gea/
66,PALMED OFF,Inside abandoned stadium turned into park with reminder of iconic past,https://www.thesun.co.uk/sport/24281656/abandoned-stadium-estadio-insular-las-palmas-world-cup/
67,NOU RUMOUR,Barcelona ‘lining up sensational loan return for Lionel Messi in January’,https://www.thesun.co.uk/sport/24320655/barcelona-transfer-loan-return-lionel-messi-january-inter-miami/
68,NO WAY JOSE,Roma 'to SACK Mourinho if he loses to bitter rival with replacement lined up',https://www.thesun.co.uk/sport/24321640/roma-will-sack-jose-mourinho-flick-lined-up/
69,FAN WORRY,Southampton game delayed over medical issue in stands after 'fan fell down steps',https://www.thesun.co.uk/sport/24323361/southampton-rotherham-delayed-fan-medical-issue-steps-fall/
70,UNITED COUPLE,Sir Alex regrets not saying 'f*** off' to Rangers when asked about wife Cathy,https://www.thesun.co.uk/sport/24322098/sir-alex-ferguson-wife-lady-cathy-rangers/
71,TROY DEENEY,"Man Utd's Onana will never be consistent, he's either brilliant or disastrous",https://www.thesun.co.uk/sport/24318948/andre-onana-david-raya-aaron-ramsdale/
72,KARREN BRADY,"After Saka nicked Maddison celebration, this Wembley moment is my favourite",https://www.thesun.co.uk/sport/24211537/bukayo-saka-james-maddison-dart-celebration-karren-brady/
73,DAVE KIDD,Chelsea took £200m in Brighton assets but Blues win in EFL Cup would be an upset,https://www.thesun.co.uk/sport/24133512/chelsea-brighton-carabao-cup-dave-kidd/
74,AL ABOARD,Scott sets pulses racing in elegant outfit as fans say 'your beauty never fails',https://www.thesun.co.uk/sport/24313793/alex-scott-instagram-elegant-dress/
75,NEW LISHA LIFE,Lehmann stuns in fresh-faced look as fans say 'is this a different person?',https://www.thesun.co.uk/sport/24296659/alisha-lehmann-new-look-instagram-fans-aston-villa/
76,RU BEAUTY,Dele Alli's model ex Ruby Mae goes braless in see-through dress sending fans wild,https://www.thesun.co.uk/sport/24306241/dele-alli-ruby-mae-braless-dress-fans-react/
